Transport,Total Distance (km),Earth eq
AIRPLANE,418854.4774082287,10.50
LARGE_CAR,813910.404456129,20.25
CAR,922991.1803485957,23.00
WALK,944045.6345827007,23.50
SMALL_CAR,1065835.0534780887,26.50
FERRY,1462910.8576436588,36.50
SCOOTER,1657965.6384863472,41.25
BUS,1756713.5342323873,43.75
BIKE,3283636.9898528717,82.00
TRANSIT,7356684.010963593,183.50
LIGHT_RAIL,8526680.426832091,212.75
SUBWAY,19130372.752045512,477.25
