bin,count
17:45,8
19:23,44
21:01,136
22:39,327
24:17,701
25:55,1214
27:33,1881
29:11,2218
30:49,2483
32:27,2536
34:05,2436
35:43,2304
37:21,2075
38:59,1825
40:37,1517
42:15,1322
43:53,1182
45:31,930
47:09,750
48:47,579
50:25,515
52:03,363
53:41,307
55:19,261
56:57,206
58:35,156
1:00:13,118
1:01:51,400
# mean=37:21
# median=35:43
# note=28794 finishers · bin ≈ 1:38
