bin,count
2:04:06,10
2:13:15,5
2:22:24,0
2:31:33,62
2:40:42,134
2:49:51,295
2:59:00,351
3:08:09,470
3:17:18,598
3:26:27,788
3:35:36,739
3:44:45,829
3:53:54,954
4:03:03,1173
4:12:12,885
4:21:21,784
4:30:30,762
4:39:39,755
4:48:48,573
4:57:57,500
5:07:06,389
5:16:15,289
5:25:24,217
5:34:33,169
5:43:42,110
5:52:51,93
6:02:00,56
6:11:09,175
# mean=4:12:12
# median=4:03:03
# subject=4:48:48
# subject_name=Ajay
# note=12165 finishers · bin ≈ 9:09
