bin,count
1:19:47,1
1:22:22,2
1:24:57,0
1:27:32,1
1:30:07,3
1:32:42,5
1:35:17,1
1:37:52,6
1:40:27,5
1:43:02,7
1:45:37,5
1:48:12,6
1:50:47,6
1:53:22,2
1:55:57,4
1:58:32,7
2:01:07,7
2:03:42,2
2:06:17,5
2:08:52,0
2:11:27,3
2:14:02,1
2:16:37,0
2:19:12,0
2:21:47,1
2:24:22,0
2:26:57,0
2:29:32,2
# mean=1:50:47
# median=1:48:12
# note=82 finishers · bin ≈ 2:35
